string_offset_hex,string_len,path,prev_marker_hex,marker_to_string_dist,tag,pre24_hex,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,extension
0x1782,42,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI,0x174a,56,n,fd5d0011000060170000a10e0000002a0000000003000000,0000002a0000000003000000,0x2a000000,0x0,0x3,0x0,GXI
0x18b7,28,VEHICLES\MOONBUGGY\WHEEL.PSM,0x18aa,13,n,34a837066967a86c48f01e00006e005cf6ac372fcc050015,006e005cf6ac372fcc050015,0x5c006e00,0x2f37acf6,0x5cc,0x1500,PSM
0x1945,5,1.CFL,0x1909,60,n,006e00dc01317c04095343454e455c49434f4e545ca0090e,4e455c49434f4e545ca0090e,0x495c454e,0x544e4f43,0xa05c,0xe09,CFL
0x1ea7,4,.PSB,0x1e97,16,n,696966f3d047541900006e00585635fc1822a02b2ecc330c,585635fc1822a02b2ecc330c,0xfc355658,0x2ba02218,0xcc2e,0xc33,PSB
0x2099,5,W.XML,0x2081,24,n,00006e00dc42ac312b1c01242c3801524143458008bc5406,2c3801524143458008bc5406,0x5201382c,0x80454341,0xbc08,0x654,XML
0x217a,7,_S4.BSP,0x2153,39,n,2b05046a834297c513006e006c5a3c1c01cd2c342480540f,6c5a3c1c01cd2c342480540f,0x1c3c5a6c,0x342ccd01,0x8024,0xf54,BSP
0x2182,8,ii\Ww>;),0x2153,47,n,13006e006c5a3c1c01cd2c342480540f5f53342e42535000,2480540f5f53342e42535000,0xf548024,0x2e34535f,0x5342,0x50,
0x2352,5,"=,\Dn",0x2332,32,n,1355229c64804368bf02534f4c49446c9428fc17024583d8,4c49446c9428fc17024583d8,0x6c44494c,0x17fc2894,0x4502,0xd883,
0x24d7,7,CARS\'$,0x24c8,15,l,0c0669bacdef47970600006c006c866c003ccc0c23104302,006c866c003ccc0c23104302,0x6c866c00,0xccc3c00,0x1023,0x243,
0x2623,23,SPAIN_S1\ROAD1A-TGA.GXI,0x260d,22,n,163600006e00c8803c5c0e110000a10e0000ac0e0000000e,0000a10e0000ac0e0000000e,0xea10000,0xeac0000,0x0,0xe00,GXI
0x2791,9,TURKEY1\|,0x2787,10,n,345f3031358038053f12b545fc3c00006e0010453c6c0305,fc3c00006e0010453c6c0305,0x3cfc,0x4510006e,0x6c3c,0x503,
0x285d,10,XTURES\FOT,0x284f,14,n,2fdc070531e0ce3d6f1e00006e0064a1373e014d4d647806,6e0064a1373e014d4d647806,0xa164006e,0x4d013e37,0x644d,0x678,
0x2896,6,S4.XML,0x287b,27,n,00fc37312c010b5343454e455c5241434554455354bc770c,5c5241434554455354bc770c,0x4341525c,0x53455445,0xbc54,0xc77,XML
0x2ac0,8,1\RUBBE),0x2a99,39,n,4528540f046969c9e77245bd4c686e0074463c1c0cac9404,4c686e0074463c1c0cac9404,0x6e684c,0x1c3c4674,0xac0c,0x494,
0x2adf,19,CUPS\CUP_FUJSEM.PSM,0x2a99,70,n,290021058cc2df475c6501006e00c45f350c012b5c040009,6e00c45f350c012b5c040009,0x5fc4006e,0x2b010c35,0x45c,0x900,PSM
0x34e6,48,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI,0x3485,97,l,0e0000730d00000554060000fc055d006000002e03000000,fc055d006000002e03000000,0x5d05fc,0x2e000060,0x3,0x0,GXI
0x3605,22,S\PS2\RACEDETAILS2.XML,0x35ea,27,l,0003d47c5f0070d92d3c01015343454e6836a40abc08000d,5343454e6836a40abc08000d,0x4e454353,0xaa43668,0x8bc,0xd00,XML
0x39c9,6,"""E""\$n",0x39b5,20,n,fe47d83b00006e002443356c0320020e1c3139ac5b010615,0320020e1c3139ac5b010615,0xe022003,0xac39311c,0x15b,0x1506,
0x3fb7,5,"D""\&l",0x3f7c,59,l,364c028d2432978049414e22ce55535329a8420269823c09,ce55535329a8420269823c09,0x535355ce,0x242a829,0x8269,0x93c,
0x4252,14,VEMENT-TGA.GXI,0x422f,35,n,075f575f464c49505c5041110000730d0000100f00000006,0000730d0000100f00000006,0xd730000,0xf100000,0x0,0x600,GXI
0x4279,41,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM,0x422f,74,n,697e246748292202006c0001bc6f5e006000002603000000,bc6f5e006000002603000000,0x5e6fbc,0x26000060,0x3,0x0,PSM
0x4543,14,S2\BED TO MUDO,0x4537,12,n,495229101105f8d5ec46443f00006e00fc41ac1b3d4c020a,00006e00fc41ac1b3d4c020a,0x6e0000,0x1bac41fc,0x4c3d,0xa02,
0x491c,4,.XML,0x4907,21,l,48910d00006c007e3bbcc92d7c02035343454e455ce49f0a,7c02035343454e455ce49f0a,0x5303027c,0x454e4543,0xe45c,0xa9f,XML
0x4938,5,1.BSP,0x4907,49,l,001ee4ee3de2df15006e006486354c052bfe01315cbc100b,86354c052bfe01315cbc100b,0x54c3586,0x3101fe2b,0xbc5c,0xb10,BSP
0x50e9,6,J?H\$n,0x50c9,32,l,00f4a5314c022b3c01273c2d024241474f4fd8a10369ccd9,024241474f4fd8a10369ccd9,0x47414202,0xa1d84f4f,0x6903,0xd9cc,
0x516a,34,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI,0x5127,67,l,0000005c544e475c444154110000100f0000410f0000001a,0000100f0000410f0000001a,0xf100000,0xf410000,0x0,0x1a00,GXI
0x53c1,6,W2.CFL,0x5379,72,l,d35e005c9a2dbc08095343454e455c49434f4e545c80250f,4e455c49434f4e545c80250f,0x495c454e,0x544e4f43,0x805c,0xf25,CFL
0x5422,12,FMV\FUJ3.PSS,0x53ea,56,l,5329e8060669152b1637048043006f0048106028ec060005,43006f0048106028ec060005,0x6f0043,0x28601048,0x6ec,0x500,PSS
