string_offset_hex,path,path_len,prev_marker_hex,marker_tag,marker_to_string_dist,chunk_hex,chunk_ascii,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex
0x5422,FMV\FUJ3.PSS,12,0x53ea,l,56,00006c000340c65e009006385c0399103194110a49414e20464152524d484f555329e8060669152b1637048043006f0048106028ec060005,..l..@.^...8\...1...IAN FARRMHOUS)...i.+.7..C.o.H.`(....,43006f0048106028ec060005,0x6f0043,0x28601048,0x6ec,0x500
0x6d35,FMV\GO2.PSS,11,0x6d00,l,53,00006c0003d42d5d0050a22dac0a22ac352bbc0b22bc4f044d55544c495247298061051deba137048038006e0018bbbc459c110005,"..l...-].P.-.."".5+.."".O.MUTLIRG).a....7..8.n....E....",38006e0018bbbc459c110005,0x6e0038,0x45bcbb18,0x119c,0x500
0x786c,FMV\MICROIDS.PSS,16,0x783a,n,50,00006e00e4592003be06573226b42902205349444522fd424228c4120575089e3cfd5c07006c00038c30600064a9cc370009,"..n..Y ...W2&.). SIDE"".BB(...u..<.\..l...0`.d..7..",00038c30600064a9cc370009,0x308c0300,0xa9640060,0x37cc,0x900
0x8f62,\FMV\CHALL02.PSS,16,0x8f09,n,89,00006e00c4e5358c052a0d015f225e4d324123f06229f00801677bbe42227c256c000218845d008039dc3cae5153342e8c250002278a283204c05c0004c05c00e817600000000000110000bd0f0000a80f0000000e01000000,"..n...5..*.._""^M2A#.b)...g{.B""|%l....]..9.<.QS4..%..'.(2..\...\...`......................",0000a80f0000000e01000000,0xfa80000,0xe000000,0x1,0x0
0xd0d4,FMV\INV1.PSS,12,0xd093,l,65,00006c0003f4e45e00e48a313c020a4855445c4d41535445525f54454c11044154455f303030fc4505252b1f3804c042006c000638ff5e0094d05d00017c590005,..l....^...1<..HUD\MASTER_TEL..ATE_000.E.%+.8..B.l..8.^...]..|Y..,ff5e0094d05d00017c590005,0x94005eff,0x1005dd0,0x597c,0x500
0xf311,FMV\ELF3.PSS,12,0xf2d1,o,64,00006f002c9b608c1b2f3c132b8c0c00044c414e47554147455c464c414753484545545f303030c877066932306136dbfa3e006c000378415d00307edc1b0005,"..o.,.`../<.+....LANGUAGE\FLAGSHEET_000.w.i20a6..>.l..xA].0~....",000378415d00307edc1b0005,0x41780300,0x7e30005d,0x1bdc,0x500
0x10f75,FMV\MASTER03.PSS,16,0x10f28,l,77,00006c0005488e60007c885e002f6c03000a46524f4e54454e445c4e45575c5449544c4553435245454e5c42475f9801015f303639a01c05445ebf3aef2b38006c000394cd5d005896dc090009,..l..H.`.|.^./l...FRONTEND\NEW\TITLESCREEN\BG_..._069...D^.:.+8.l....].X.....,000394cd5d005896dc090009,0xcd940300,0x9658005d,0x9dc,0x900
0x15fcb,FMV\CHALL04.PSS,15,0x15f82,l,73,00006c0004fc306000b0845d303c0101434f4d4d640a00045854555245535c4b414d415a5349444530322d5447418009052f4ae13204c05d006c000684805f00e4f85e00017c120009,..l...0`...]0<..COMMd...XTURES\KAMAZSIDE02-TGA.../J.2..].l...._...^..|...,805f00e4f85e00017c120009,0xe4005f80,0x1005ef8,0x127c,0x900
0x185aa,FMV\BAGOO3.PSS,14,0x18559,l,81,00006c0003248b5e005422cc0e2acc212d2c06015441544160aa2a1c010127a62f417ce76c000330d65f006800381c046c4401595f4d322e101d05164edd30040039006c0004004e600010eb5dace80005,"..l..$.^.T""..*.!-,..TATA`.*...'./A|.l..0._.h.8..lD.Y_M2.....N.0..9.l...N`...]....",04004e600010eb5dace80005,0x604e0004,0x5deb1000,0xe8ac,0x500
0x1b34f,\FMV\TROPHY.PSS,15,0x1b2d0,l,127,00006c0004a8665d00ac4d5d303c048e17454e90070d5c5449544c4553435245454e5c42475f9801015f30373298090369c2c81648c44c456d0000c0002fec082b3c01001856454849434c4553454c4543545c4752414449454e54424f5845532e50534200696911fe9e3d040022006c00068888600004b65f00014c0c0006,"..l...f]..M]0<...EN...\TITLESCREEN\BG_..._072...i...H.LEm..../..+<...VEHICLESELECT\GRADIENTBOXES.PSB.ii...=.."".l....`..._..L...",88600004b65f00014c0c0006,0x4006088,0x1005fb6,0xc4c,0x600
0x1c7f5,FMV\FUJ2.PSS,12,0x1c7c3,o,50,00006f0014365e681237fc22240d2457b44a02435241434b22e9295f2b401b05116bda3604c03b006c006eebb4aedceb0005,"..o..6^h.7.""$.$W.J.CRACK"".)_+@...k.6..;.l.n.......",3b006c006eebb4aedceb0005,0x6c003b,0xaeb4eb6e,0xebdc,0x500
0x1d362,FMV\BFGOOD1.PSS,15,0x1d322,l,64,00006c0003b0365f000056310e02434f2b2c030d52454e44455254415247455436345836c80906691a4e1631040048006c00069c8d5f006c295d00017c330009,"..l...6_..V1..CO+,..RENDERTARGET64X6...i.N.1..H.l...._.l)]..|3..",8d5f006c295d00017c330009,0x6c005f8d,0x1005d29,0x337c,0x900
