marker_offset_hex,tag,next_marker_hex,span_len,clear_count,path_count,first_path_or_clear
0x10dc4,n,0x10ed9,277,3,2,05.PSS
0xc026,l,0xc0d0,170,3,2,SHEET.PSB
0x140e1,l,0x14186,165,3,2,2.CFL
0x5437,n,0x54c7,144,3,2,HG\[n
0xfeac,l,0xff17,107,3,2,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0xc753,l,0xc7fe,171,2,2,?;GD\gn
0xd093,l,0xd132,159,2,2,FMV\INV1.PSS
0x1b2d0,l,0x1b365,149,2,2,VEHICLESELECT\GRADIENTBOXES.PSB
0x16975,n,0x169fb,134,2,2,>\{N
0x1c1a9,l,0x1c22d,132,2,2,\COURSE\SPAIN1\NEWBRIGHT-TGA.GXI
0x2a99,n,0x2b17,126,2,2,1\RUBBE)
0x422f,n,0x42ab,124,2,2,VEMENT-TGA.GXI
0x1fb53,l,0x1fbcf,124,2,2,SHEET.PSB
0x1fc11,l,0x1fc86,117,2,2,"CHECKPOINTS\(,"
0x14f09,l,0x14f79,112,2,2,"TURKEY_S2_FLIP\,8"
0x6fa6,l,0x7015,111,2,2,:B{\6l
0x15ed0,n,0x15f37,103,2,2,SMALLCARS\'$
0x1bc72,l,0x1bcc8,86,2,2,MISC\OBJECTS\HAYBALE' 
0x17b41,l,0x17b83,66,2,2,#1\'$
0x13484,l,0x134c5,65,2,2,GAME\p
0x4907,l,0x4944,61,2,2,.XML
0x2153,n,0x218a,55,2,2,_S4.BSP
0x16e52,l,0x16e84,50,2,2,"$\""w"
0x19d6d,l,0x19e40,211,3,1,DY\5l
0xb122,l,0xb1bb,153,3,1,"=,\mo"
0x14703,l,0x14782,127,3,1,"A""\ l"
0x18d81,l,0x18e6c,235,2,1,>GK\Ul
0xb7c8,l,0xb85f,151,2,1,SMALLCARS\'$
0xaea6,n,0xaf35,143,2,1,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x15cdc,l,0x15d5c,128,2,1,fmS\t
0x1dbc3,l,0x1dc41,126,2,1,SMALLCARS\'$
0x21050,l,0x210c9,121,2,1,Fn\zl
0xab55,l,0xabc9,116,2,1,Dk\ll
0x8f09,n,0x8f7c,115,2,1,\FMV\CHALL02.PSS
0x1332f,l,0x13394,101,2,1,vA8\\l
0xdd3e,n,0xdda1,99,2,1,LE%\[$ @t
0x1fce8,l,0x1fd4b,99,2,1,Bc\4l
0x1ac94,l,0x1acf6,98,2,1,*>C\$l
0x1864a,l,0x186a8,94,2,1,\TERRANO\CAR.PSM
0x2081,n,0x20db,90,2,1,W.XML
0x20379,l,0x203d2,89,2,1,MISC\ANIMALS\BURDYBROWN.PSB
0xf11a,l,0xf172,88,2,1,Gi\al
0x1f466,l,0x1f4bd,87,2,1,\CUPSp
0xd9ac,l,0xda02,86,2,1,ICKRACE.XML
0x60f5,l,0x6149,84,2,1,1.PSM
0x141ce,l,0x1421d,79,2,1,VEHICLES\XTRAIL\WHEEL.PSM
0xcfd3,l,0xd019,70,2,1,.PSM
0x61db,l,0x6211,54,2,1,.PSB
0x1ed9e,l,0x1edca,44,2,1,ARROW.PSB
0x1db5a,l,0x1db7f,37,2,1,_W2\TOP'
0xa0da,l,0xa0fe,36,2,1,ICONS\MC|
0x1ff74,l,0x2006f,251,1,1,G|\3l
0x5c88,l,0x5d57,207,1,1,DND)\Wn
0xfa00,l,0xfac1,193,1,1,.PSB
0x1e75f,l,0x1e80d,174,1,1,S3.BSP
0x148c2,l,0x1496a,168,1,1,F~\:l
0x1b670,l,0x1b70f,159,1,1,F4>9\#l
0x3485,l,0x3520,155,1,1,\TNG\DATAPSM\COURSE\FRANCE_M\MRTRUCKROOF-TGA.GXI
0x19049,l,0x190e1,152,1,1,\TNG\DATAPSM\COURSE\SPAIN1\ROCKYPASSSW4-TGA.GXI
0x14e73,l,0x14f09,150,1,1,_022.GXI
0x20dc7,l,0x20e52,139,1,1,8\IL
0xb8a1,n,0xb929,136,1,1,M1.BSP
0x1ac0c,l,0x1ac94,136,1,1,G:\#l
0x16ea8,l,0x16f2f,135,1,1,.BSP
0xde66,l,0xdee6,128,1,1,_058.GXI
0x7f42,l,0x7fbf,125,1,1,RSE\ITALY1\I2A_DIRT2-TGA.GXI
0x7885,n,0x7900,123,1,1,S2.BSP
0x942d,l,0x94a8,123,1,1,7>N\_n
0x14a99,l,0x14b12,121,1,1,Gv\al
0x1131e,l,0x11396,120,1,1,.PSB
0xa7b5,n,0xa82c,119,1,1,>Y\Ql
0x6081,n,0x60f5,116,1,1,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x16a19,l,0x16a8b,114,1,1,CUPS\TROPHYROO*
0x6b4e,n,0x6bbf,113,1,1,3.XML
0x204b8,l,0x20529,113,1,1,.PSS
0xb97d,l,0xb9ec,111,1,1,M.XML
0xc6c7,l,0xc736,111,1,1,TANK\CAR.PSM
0x198e5,l,0x19954,111,1,1,.PSB
0x9e1f,l,0x9e8d,110,1,1,10\x
0x5127,l,0x5194,109,1,1,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x10385,l,0x103f2,109,1,1,MISC\COPT#;$i
0xc5b5,l,0xc620,107,1,1,VEHICLES\SIMMBUGGHINI
0xbe6a,l,0xbed3,105,1,1,_S2.BSP
0x143ce,l,0x14436,104,1,1,18.PSB
0x2332,n,0x2398,102,1,1,"=,\Dn"
0x10f28,l,0x10f8e,102,1,1,FMV\MASTER03.PSS
