cluster_start_hex,cluster_end_hex,cluster_span_bytes,hit_count,best_member_offset_hex,best_value_hex,best_norm_hex,best_normalized_hex,best_anchor_diff,section
0x180,0x1b0,52,11,0x19c,0xb8005e1b,0x80000000,0x38005e1b,85458,prelude_control
0xdec,0xe84,156,10,0xe64,0xc8005de8,0x90000000,0x38005de8,85407,prelude_control
0x328,0x388,100,8,0x328,0x60414003,0x60000000,0x414003,54003,prelude_control
0x5a00,0x5a98,156,7,0x5a00,0xd13deaa4,0x90000000,0x413deaa4,156662,main_entry_region
0x16174,0x161fc,140,7,0x161fc,0x41420f7f,0x0,0x41420f7f,114917,main_entry_region
0x1fb80,0x1fc08,140,7,0x1fb80,0xe8004253,0xb0000000,0x38004253,78346,main_entry_region
0x7bc,0x808,80,7,0x808,0xe8006014,0xb0000000,0x38006014,85963,prelude_control
0x1a73c,0x1a7b4,124,6,0x1a73c,0x34bc033c,0x0,0x34bc033c,11874,main_entry_region
0x2d4c,0x2da8,96,6,0x2d4c,0xf8006e00,0xc0000000,0x38006e00,89527,main_entry_region
0x13138,0x13184,80,6,0x13184,0x658c024c,0x30000000,0x358c024c,4360,main_entry_region
0x83c,0x878,64,6,0x854,0x38006038,0x0,0x38006038,85999,prelude_control
0xb98,0xbd0,60,6,0xba0,0x658c004e,0x30000000,0x358c004e,3850,prelude_control
0x1520c,0x1523c,52,6,0x15218,0x58005ca4,0x20000000,0x38005ca4,85083,main_entry_region
0x7bd4,0x7c00,48,6,0x7c00,0xf8005f3b,0xc0000000,0x38005f3b,85746,main_entry_region
0x8a14,0x8a70,96,5,0x8a50,0x425350,0x0,0x425350,16474,main_entry_region
0xcddc,0xce38,96,5,0xcdf8,0x414278df,0x0,0x414278df,141893,main_entry_region
0xf3d8,0xf430,92,5,0xf414,0xf8006e00,0xc0000000,0x38006e00,89527,main_entry_region
0x1d810,0x1d868,92,5,0x1d850,0xf4005ca6,0xc0000000,0x34005ca6,119938,main_entry_region
0x1b574,0x1b5c0,80,5,0x1b588,0x41425c32,0x0,0x41425c32,134552,main_entry_region
0x16b6c,0x16bb0,72,5,0x16b70,0xb8005f00,0x80000000,0x38005f00,85687,main_entry_region
0x8a4,0x8dc,60,5,0x8ac,0x68006078,0x30000000,0x38006078,86063,prelude_control
0x1ac0,0x1af4,56,5,0x1aec,0x74006e7f,0x40000000,0x34006e7f,124507,main_entry_region
0xc5c,0xc8c,52,5,0xc5c,0xe8005ec4,0xb0000000,0x38005ec4,85627,prelude_control
0x7aa4,0x7af8,88,4,0x7af8,0x41f478bf,0x40000000,0x1f478bf,100409,main_entry_region
0x8da8,0x8dfc,88,4,0x8da8,0x98005df2,0x60000000,0x38005df2,85417,main_entry_region
