control_hex,count
0x60,44
0x5f,35
0x5e,22
0x0,14
0x5d,9
0x5000,8
0xc000,7
0xf400,6
0xe800,6
0xd400,6
0xb000,6
0x5800,6
0xe000,6
0x7c00,6
0x7800,5
0xa400,5
0x800,5
0x9c00,5
0x8c00,5
0xbc00,5
0x2400,5
0xc00,5
0x8800,5
0x5400,5
0x3c00,5
0x8000,5
0xf000,5
0xec00,5
0x4400,4
0x3000,4
0xa000,4
0x5c00,4
0xfc00,4
0x5c,4
0x1000,4
0xb400,4
0x1400,4
0x3800,4
0x6000,4
0x6400,3
0xe400,3
0xb800,3
0x4c00,3
0x1800,3
0x6800,3
0x8400,3
0xc400,3
0xc800,3
0x35c,3
0x2800,3
0x9800,3
0xd,3
0x400,3
0x9000,3
0xac00,3
0xd000,3
0x4554,3
0x4145,3
0xf800,2
0x1c00,2
0x9400,2
0x7400,2
0x6073,2
0x4c9b,2
