table_start_hex,table_end_hex,pair_count,target_min_hex,target_max_hex,control_values,semantic_sample
0x180,0x198,6,0x5ee4,0x6071,0x6400;0x7800;0xe400;0xe800;0xf400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x198,0x1ac,5,0x5d23,0x605f,0x0;0xa400;0xb800;0xf800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1ac,0x1b0,1,0x245c,0x245c,0x802,SPAIN_S1\ROAD1A-TGA.GXI
0x1b0,0x1b4,1,0x5ffe,0x5ffe,0xe800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x1e0,0x22c,16,0x5f30,0x6093,0x1800;0x1c00;0x3000;0x4400;0x4c00;0x5000;0x7400;0x800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x248,0x24c,1,0x2560,0x2560,0x1c02,SPAIN_S1\ROAD1A-TGA.GXI
0x24c,0x250,1,0x5ebc,0x5ebc,0x6800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x278,0x27c,1,0x7c00,0x7c00,0xf5c,FMV\MICROIDS.PSS
0x27c,0x284,2,0x1800,0x1807,0x5e31;0x6032,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0x284,0x288,1,0x6000,0x6000,0x5c32,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x28c,0x290,1,0x5800,0x5800,0x5f31,HUD\HUD-TEMPLATE.PSB
0x290,0x294,1,0x2800,0x2800,0x6073,SPAIN_S1\ROAD1A-TGA.GXI
0x294,0x298,1,0xb800,0xb800,0x85e,\CAR.PSM
0x298,0x29c,1,0xab1c,0xab1c,0x195c,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2ac,0x2b0,1,0x6d06,0x6d06,0x580d,FMV\GO2.PSS
0x2b4,0x2c4,3,0x5d74,0x6061,0x5c00;0xb000;0xfc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x2c4,0x2c8,1,0xac93,0xac93,0x246,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2c8,0x2cc,1,0xff2c,0xff2c,0x5f,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x2cc,0x2d0,1,0x5cd0,0x5cd0,0x221,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x2d0,0x2d4,1,0x8e08,0x8e08,0x5f,\FMV\CHALL02.PSS
0x2d4,0x2d8,1,0x4c94,0x4c94,0x20d,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x2d8,0x2dc,1,0xff64,0xff64,0x5f,\TNG\DATAPSM\COMMONTEXTURES\ICEWIN-TGA.GXI
0x2dc,0x2e0,1,0x5c64,0x5c64,0x1e,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x2e0,0x2e4,1,0x2c07,0x2c07,0x5f52,CUPS\CUP_FUJSEM.PSM
0x2e4,0x2e8,1,0x8400,0x8400,0x5fcc,S\PS2\OPTIONS.XML
0x2e8,0x2ec,1,0xac00,0xac00,0x5fab,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2ec,0x2f0,1,0xf800,0xf800,0x5f6c,FMV\ELF3.PSS
0x2f0,0x2f4,1,0x1c00,0x1c00,0x5f9b,VEHICLES\MOONBUGGY\WHEEL.PSM
0x2f4,0x2f8,1,0xac00,0xac00,0x6040,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x2f8,0x2fc,1,0xf800,0xf800,0x145e,FMV\ELF3.PSS
0x2fc,0x300,1,0x9448,0x9448,0xf7f,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x314,0x318,1,0xac01,0xac01,0x4c9b,\TNG\DATAPSM\COURSE\ITALY_S2\DRUM2-TGA.GXI
0x31c,0x320,1,0x6400,0x6400,0x5da3,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x324,0x328,1,0xf800,0xf800,0x64c,FMV\ELF3.PSS
0x328,0x32c,1,0x4003,0x4003,0x6041,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x32c,0x330,1,0x7c00,0x7c00,0xbc21,FMV\MICROIDS.PSS
0x340,0x354,5,0x5cdb,0x6095,0x5800;0x5c00;0x8400;0x8c00;0xcc00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x358,0x35c,1,0x245c,0x245c,0x4202,SPAIN_S1\ROAD1A-TGA.GXI
0x360,0x364,1,0x42ac,0x42ac,0x740a,\TNG\DATAPSM\VEHICLES\MEGANE\COMPLETE.PSM
0x364,0x370,3,0x5dd9,0x5fef,0xb000;0xc400;0xe000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x370,0x374,1,0x204c,0x204c,0xe,SPAIN_S1\ROAD1A-TGA.GXI
0x374,0x390,6,0x5d94,0x600e,0x4400;0x800;0xb800;0xbc00;0xc800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TG
0x390,0x394,1,0x1e5d,0x1e5d,0x5d9c,VEHICLES\MOONBUGGY\WHEEL.PSM
0x394,0x398,1,0x4c08,0x4c08,0x35c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x398,0x39c,1,0x280a,0x280a,0x5f23,SPAIN_S1\ROAD1A-TGA.GXI
0x39c,0x3a0,1,0x9000,0x9000,0x6083,\TNG\DATAPSM\COURSE\TURKEY_S2\TREE-TGA.GXI
0x3a0,0x3a4,1,0x1800,0x1800,0x600f,\TNG\DATAPSM\COURSE\ITALY1\WALL_02-TGA.GXI
0x3a4,0x3a8,1,0xe000,0xe000,0x24c,S\PS2\PROGRESS.XML
0x3a8,0x3b0,2,0x8c00,0x8c06,0x5f33;0x6033,\FMV\CHALL02.PSS
0x3b0,0x3b4,1,0x5000,0x5000,0x66c,APSM\COURSE\FRANCE_S1\BARK-TGA.GXI
0x3b8,0x3bc,1,0x2400,0x2400,0x6096,SPAIN_S1\ROAD1A-TGA.GXI
0x3c8,0x3cc,1,0xa400,0xa400,0x234d,VEHICLES\JUMP\WHEEL.PSM
