table_off_hex,target_off_hex,control_hex,nearest_marker_hex,nearest_marker_dist,nearest_marker_tag,nearest_path_hex,nearest_path_dist,nearest_path
0x180,0x600c,0xf400,0x601a,14,n,0x60b7,171,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x184,0x5ee4,0x6400,0x5ec4,32,n,0x60b7,467,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x188,0x5f40,0x7800,0x5f5c,28,l,0x60b7,375,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x18c,0x6071,0xe800,0x6081,16,n,0x60b7,70,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x190,0x601e,0x7800,0x601a,4,n,0x60b7,153,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x194,0x605f,0xe400,0x6055,10,l,0x60b7,88,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x198,0x5d23,0xa400,0x5d57,52,l,0x60b7,916,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x19c,0x5e1b,0xb800,0x5e20,5,n,0x60b7,668,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1a0,0x605f,0x0,0x6055,10,l,0x60b7,88,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1a4,0x5f13,0xb800,0x5f5c,73,l,0x60b7,420,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1a8,0x5f50,0xf800,0x5f5c,12,l,0x60b7,359,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1ac,0x245c,0x802,0x2465,9,n,0x2623,455,SPAIN_S1\ROAD1A-TGA.GXI
0x1b0,0x5ffe,0xe800,0x5ff4,10,l,0x60b7,185,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1e0,0x5f30,0x5000,0x5f5c,44,l,0x60b7,391,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1e4,0x5ffe,0x4c00,0x5ff4,10,l,0x60b7,185,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1e8,0x5f51,0xe800,0x5f5c,11,l,0x60b7,358,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1ec,0x5fbb,0xd400,0x5fcf,20,l,0x60b7,252,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1f0,0x5f7c,0x1c00,0x5f5c,32,l,0x60b7,315,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1f4,0x6040,0x9400,0x603b,5,n,0x60b7,119,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1f8,0x6092,0x1800,0x6081,17,n,0x60b7,37,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x1fc,0x5f5e,0x4400,0x5f5c,2,l,0x60b7,345,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x200,0x6060,0x3000,0x6055,11,l,0x60b7,87,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
0x204,0x6081,0xc000,0x6081,0,n,0x60b7,54,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
