path,string_offset_hex,prev_marker_hex,marker_tag,marker_to_string_dist,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,low16_string_hex,page_index
FMV\MASTER03.PSS,0x10f75,0x10f28,l,77,000394cd5d005896dc090009,0xcd940300,0x9658005d,0x9dc,0x900,0xf75,1
FMV\CREDITS.PSS,0x121d4,0x1219e,n,54,3e006f00946f5f9c1a8c680c,0x6f003e,0x9c5f6f94,0x8c1a,0xc68,0x21d4,1
FMV\GO3.PSS,0x13c2d,0x13bff,l,46,6c0003a85e5d00b86bdcc108,0xa803006c,0xb8005d5e,0xdc6b,0x8c1,0x3c2d,1
FMV\CHALL04.PSS,0x15fcb,0x15f82,l,73,805f00e4f85e00017c120009,0xe4005f80,0x1005ef8,0x127c,0x900,0x5fcb,1
FMV\BAGOO3.PSS,0x185aa,0x18559,l,81,04004e600010eb5dace80005,0x604e0004,0x5deb1000,0xe8ac,0x500,0x85aa,1
FMV\BFGOOD2.PSS,0x1959f,0x19578,l,39,fc3b006f00602660283c0a0c,0x6f003bfc,0x60266000,0x3c28,0xc0a,0x959f,1
FMV\CHALL06.PSS,0x1b0da,0x1b05b,l,127,05c09b60001cc25e009c2c0c,0x609bc005,0x5ec21c00,0x9c00,0xc2c,0xb0da,1
\FMV\TROPHY.PSS,0x1b34f,0x1b309,À,70,88600004b65f00014c0c0006,0x4006088,0x1005fb6,0xc4c,0x600,0xb34f,1
FMV\FUJ2.PSS,0x1c7f5,0x1c7c3,o,50,3b006c006eebb4aedceb0005,0x6c003b,0xaeb4eb6e,0xebdc,0x500,0xc7f5,1
FMV\BFGOOD1.PSS,0x1d362,0x1d322,l,64,8d5f006c295d00017c330009,0x6c005f8d,0x1005d29,0x337c,0x900,0xd362,1
