path,string_offset_hex,cand_u32_b_hex,page_lift_target_hex,delta_to_string,root_table_off_hex,root_target_off_hex,root_control_hex,root_nearest_path,root_nearest_marker_hex,root_nearest_marker_tag,root_target_delta_to_b_lo
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0xf74,0x5ef3,0x1000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,-5
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0xcd4,0x5eff,0xd800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,7
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0x1604,0x5f01,0x3130,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,9
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0x8e4,0x5eec,0xe000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,-12
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0x1154,0x5f04,0x4d53,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,12
FMV\CHALL04.PSS,0x15fcb,0x1005ef8,0x15ef8,-211,0x898,0x5eeb,0x8800,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5ec4,n,-13
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0xc6c,0x5fb6,0x8000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fa4,l,0
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0xc70,0x5fb6,0x5400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fa4,l,0
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0xb9c,0x5fb4,0xec00,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fa4,l,-2
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0xa1c,0x5fb3,0xb400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fa4,l,-3
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0x99c,0x5fb2,0x4400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fa4,l,-4
\FMV\TROPHY.PSS,0x1b34f,0x1005fb6,0x15fb6,-21401,0x1ec,0x5fbb,0xd400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5fcf,l,5
FMV\BFGOOD1.PSS,0x1d362,0x1005d29,0x15d29,-30265,0x198,0x5d23,0xa400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5d57,l,-6
FMV\BFGOOD1.PSS,0x1d362,0x1005d29,0x15d29,-30265,0xad8,0x5d3b,0xf000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5d57,l,18
FMV\BFGOOD1.PSS,0x1d362,0x1005d29,0x15d29,-30265,0x7d8,0x5d49,0xa400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI,0x5d57,l,32
