path,string_offset_hex,prev_marker_hex,marker_tag,marker_to_string_dist,last12_hex,cand_u32_a_hex,cand_u32_b_hex,trail_u16_a_hex,trail_u16_b_hex,low16_string_hex,page_index,cand_u32_a_lo_hex,cand_u32_a_hi_hex,cand_u32_b_lo_hex,cand_u32_b_hi_hex,submodel,page_lift_target_hex,page_lift_delta_to_string,nearest_table_to_traila_hex,nearest_table_to_traila_delta,near_root_hits_blo,near_root_hits_alo,best_near_root_target_blo_hex,best_near_root_control_blo_hex,best_near_root_path_blo
FMV\MASTER03.PSS,0x10f75,0x10f28,l,77,000394cd5d005896dc090009,0xcd940300,0x9658005d,0x9dc,0x900,0xf75,1,0x300,0xcd94,0x5d,0x9658,unclassified_late_overflow,,,0x9d0,-12,0,0,,,
FMV\CREDITS.PSS,0x121d4,0x1219e,n,54,3e006f00946f5f9c1a8c680c,0x6f003e,0x9c5f6f94,0x8c1a,0xc68,0x21d4,1,0x3e,0x6f,0x6f94,0x9c5f,alternate_subtype_needs_local_decoder,,,0x175c,-29886,0,0,,,
FMV\GO3.PSS,0x13c2d,0x13bff,l,46,6c0003a85e5d00b86bdcc108,0xa803006c,0xb8005d5e,0xdc6b,0x8c1,0x3c2d,1,0x6c,0xa803,0x5d5e,0xb800,normalized_bankhint_low16_root,,,0x175c,-50447,9,0,0x5d5d,0x7400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
FMV\CHALL04.PSS,0x15fcb,0x15f82,l,73,805f00e4f85e00017c120009,0xe4005f80,0x1005ef8,0x127c,0x900,0x5fcb,1,0x5f80,0xe400,0x5ef8,0x100,page1_low16_bankroot,0x15ef8,-211,0x127c,0,16,16,0x5ef3,0x1000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
FMV\BAGOO3.PSS,0x185aa,0x18559,l,81,04004e600010eb5dace80005,0x604e0004,0x5deb1000,0xe8ac,0x500,0x85aa,1,0x4,0x604e,0x1000,0x5deb,swapped_bankhint_hiword_root,,,0x175c,-53584,0,0,,,
FMV\BFGOOD2.PSS,0x1959f,0x19578,l,39,fc3b006f00602660283c0a0c,0x6f003bfc,0x60266000,0x3c28,0xc0a,0x959f,1,0x3bfc,0x6f00,0x6000,0x6026,swapped_bankhint_hiword_root,,,0x175c,-9420,31,2,0x6000,0x5c32,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
FMV\CHALL06.PSS,0x1b0da,0x1b05b,l,127,05c09b60001cc25e009c2c0c,0x609bc005,0x5ec21c00,0x9c00,0xc2c,0xb0da,1,0xc005,0x609b,0x1c00,0x5ec2,swapped_bankhint_hiword_root,,,0x175c,-33956,5,5,0x1c00,0x5f9b,VEHICLES\MOONBUGGY\WHEEL.PSM
\FMV\TROPHY.PSS,0x1b34f,0x1b309,À,70,88600004b65f00014c0c0006,0x4006088,0x1005fb6,0xc4c,0x600,0xb34f,1,0x6088,0x400,0x5fb6,0x100,page1_low16_bankroot,0x15fb6,-21401,0xc58,12,22,32,0x5fb6,0x8000,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
FMV\FUJ2.PSS,0x1c7f5,0x1c7c3,o,50,3b006c006eebb4aedceb0005,0x6c003b,0xaeb4eb6e,0xebdc,0x500,0xc7f5,1,0x3b,0x6c,0xeb6e,0xaeb4,alternate_subtype_needs_local_decoder,,,0x175c,-54400,0,0,,,
FMV\BFGOOD1.PSS,0x1d362,0x1d322,l,64,8d5f006c295d00017c330009,0x6c005f8d,0x1005d29,0x337c,0x900,0xd362,1,0x5f8d,0x6c00,0x5d29,0x100,page1_low16_bankroot,0x15d29,-30265,0x175c,-7200,3,14,0x5d23,0xa400,\TNG\DATAPSM\COURSE\TURKEY_S2_FLIP\MUD TO ROR-TGA.GXI
