owner_path,trail_u16_a_hex,echo_offset_hex,echo_delta_to_owner,echo_span_marker_hex,echo_span_tag,echo_span_first_clear
FMV\BFGOOD1.PSS,0x337c,0x1a355,-12301,0x1a347,l,
FMV\BFGOOD1.PSS,0x337c,0x1d35e,-4,0x1d322,l,FMV\BFGOOD1.PSS
FMV\BFGOOD1.PSS,0x337c,0x1e16b,3593,0x1e141,n,
FMV\BFGOOD1.PSS,0x337c,0x20d27,14789,0x20ce9,l,
FMV\CHALL04.PSS,0x127c,0x13266,-11621,0x13253,l,D|vl
FMV\CHALL04.PSS,0x127c,0x15fc7,-4,0x15f82,l,FMV\CHALL04.PSS
FMV\CHALL04.PSS,0x127c,0x256c,-80479,0x2562,n,
\FMV\TROPHY.PSS,0xc4c,0x11243,-41228,0x1122e,n,
\FMV\TROPHY.PSS,0xc4c,0x124ae,-36513,0x1249f,l,
\FMV\TROPHY.PSS,0xc4c,0x1534a,-24581,0x1533b,l,
\FMV\TROPHY.PSS,0xc4c,0x172d2,-16509,0x172c6,l,
\FMV\TROPHY.PSS,0xc4c,0x1b34b,-4,0x1b2d0,l,VEHICLESELECT\GRADIENTBOXES.PSB
\FMV\TROPHY.PSS,0xc4c,0x1dc05,10422,0x1dbc3,l,SMALLCARS\'$
\FMV\TROPHY.PSS,0xc4c,0x1dfa8,11353,0x1df95,n,
\FMV\TROPHY.PSS,0xc4c,0x1f8bb,17772,0x1f8af,l,
\FMV\TROPHY.PSS,0xc4c,0x6a32,-84253,0x6a28,n,
\FMV\TROPHY.PSS,0xc4c,0x6b5,-109722,,,
\FMV\TROPHY.PSS,0xc4c,0x7d35,-79386,0x7d29,l,
\FMV\TROPHY.PSS,0xc4c,0x8193,-78268,0x8182,l,
\FMV\TROPHY.PSS,0xc4c,0x90c,-109123,,,
