path,rel,value,mode,target,pack,delta,ok,duration,video_codec,audio_codec,width,height,stream_count,outfile,field,pack_hex,target_hex,value_hex
FMV\CREDITS.PSS,24,6103240,swap16_minus_20000000,13107293,13107539,246,True,17.2,,mp3,,,1,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_24_swap16_minus_20000_00C80153.pss,post_u32_p24,0x00C80153,0x00C8005D,0x005D20C8
FMV\CREDITS.PSS,-40,1397050452,minus_20000000,860179540,860178995,545,True,13.72,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_-40_minus_20000000_33454A33.pss,pre_u32_m40,0x33454A33,0x33454C54,0x53454C54
FMV\CREDITS.PSS,-4,208178202,swap16_minus_50000000,1008340072,1008339523,549,True,,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_-4_swap16_minus_50000_3C1A0A43.pss,pre_u32_m4,0x3C1A0A43,0x3C1A0C68,0x0C688C1A
FMV\CREDITS.PSS,-32,1413311822,swap16_minus_50000000,491672637,491673281,644,True,13.52,,mp3,,,2,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_-32_swap16_minus_50000_1D4E56C1.pss,pre_u32_m32,0x1D4E56C1,0x1D4E543D,0x543D6D4E
FMV\CREDITS.PSS,36,1840793669,swap16_minus_10000000,944074168,944073509,659,True,71393.644333,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_36_swap16_minus_10000_38456B25.pss,post_u32_p36,0x38456B25,0x38456DB8,0x6DB84845
FMV\CREDITS.PSS,-32,1413311822,minus_50000000,71134542,71135303,761,True,,mpeg2video,mp2,512.0,256.0,2,/mnt/data/stage71_bundle/probes/FMV_CREDITS.PSS_-32_minus_50000000_043D7047.pss,pre_u32_m32,0x043D7047,0x043D6D4E,0x543D6D4E
FMV\FUJ2.PSS,16,1748888002,minus_60000000,138275266,138275135,131,True,83403.700811,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_16_minus_60000000_083DE93F.pss,post_u32_p16,0x083DE93F,0x083DE9C2,0x683DE9C2
FMV\FUJ2.PSS,-28,3911338819,swap16_minus_30000000,457435426,457435075,351,True,11.3,,,0.0,0.0,1,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_-28_swap16_minus_30000_1B43E7C3.pss,pre_u32_m28,0x1B43E7C3,0x1B43E922,0xE9224B43
FMV\FUJ2.PSS,-4,83946460,direct,83946460,83946813,353,True,,mpeg1video,mp2,512.0,256.0,2,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_-4_direct_0500ED3D.pss,pre_u32_m4,0x0500ED3D,0x0500EBDC,0x0500EBDC
FMV\FUJ2.PSS,16,1748888002,minus_30000000,943581634,943581989,355,True,,mpeg2video,,512.0,256.0,1,/mnt/data/stage71_bundle/probes/FMV_FUJ2.PSS_16_minus_30000000_383DEB25.pss,post_u32_p16,0x383DEB25,0x383DE9C2,0x683DE9C2
