pak_path,canonical_family,operational_readiness,registry_status,decoder_class,best_stage
FMV\CHALL07.PSS,challenge_preview_family_01,not_ready,name_only_unmodeled,none,Stage 57
FMV\FUJ3.PSS,early_branded_preview_family_01,resolved_alias_decoder,soft_clean_alias_sibling,early_u16_alias,Stage 70
FMV\GO2.PSS,early_branded_preview_family_01,resolved_alias_decoder,soft_clean_alias_sibling,early_u16_alias,Stage 70
FMV\MICROIDS.PSS,microids_logo_fmv,operational_named_decoder,operational_soft_clean,early_u16_payload_edge,Stage 68
FMV\CHALL09.PSS,challenge_preview_family_01,not_ready,name_only_unmodeled,none,Stage 57
\FMV\CHALL02.PSS,challenge_preview_family_01,operational_named_decoder,operational_soft_clean,early_u16_payload_edge,Stage 68
FMV\INV1.PSS,inventory_or_intro_fmv,exact_named_decoder,exact_clean,early_u16_payload_edge,Stage 68
FMV\ELF3.PSS,early_branded_preview_family_01,operational_named_decoder,operational_soft_clean,early_u16_payload_edge,Stage 70
FMV\MASTER03.PSS,late_branded_preview_family_alt_01,operational_named_decoder,operational_soft_clean,late_alternate_subtype,Stage 71
FMV\CREDITS.PSS,late_branded_preview_family_alt_01,resolved_alias_decoder,soft_clean_alias_sibling,late_alternate_alias,Stage 72
FMV\GO3.PSS,late_branded_preview_family_alt_01,exact_named_decoder,exact_clean,late_alternate_payload_edge,Stage 71
FMV\CHALL04.PSS,page1_low16_bankroot,exact_named_decoder,exact_clean,late_page1_exact_member,Stage 63
FMV\BAGOO3.PSS,late_branded_preview_family_alt_01,evidence_only,evidence_only,swapped_bankhint_hiword_root,Stage 66
FMV\BFGOOD2.PSS,late_branded_preview_family_alt_01,operational_named_decoder,operational_soft_clean,swapped_bankhint_hiword_root,Stage 66
FMV\CHALL06.PSS,late_branded_preview_family_alt_01,resolved_alias_decoder,soft_clean_alias_sibling,swapped_bankhint_hiword_root,Stage 66
\FMV\TROPHY.PSS,page1_low16_bankroot,exact_named_decoder,exact_clean,late_page1_exact_member,Stage 63
FMV\FUJ2.PSS,early_branded_preview_family_01,resolved_alias_decoder,soft_clean_alias_sibling,late_alternate_semantic_split,Stage 72
FMV\BFGOOD1.PSS,page1_low16_bankroot,exact_named_decoder,exact_clean,late_page1_exact_member,Stage 63
