xml_key,term,offset_hex,cluster_id,excerpt
OPTIONS,Options,0xd77eced,1,"=""ICont/InFr\ | MinDist"" Type=""FloaP | =""50.0` | "" SaveOptionsH | Xalse | PlayerStatp | 10 . | Behind/;"
PROGRESS,Progress,0xd77fa2f,1,"2P  p | SpeedUnit 6 | C""P$ | Gearbox1 E | Progress/Win"" | us/Won_T1_BagooC 7 | Elf R | BFGoodrich R"
OPTIONS,Options,0xd780993,1,"</gaIContDriverParams | XmlData't | "" SaveOptions=""False | PlayerStatt, |   <1$ | Velocity : Min (mps) | 8.4t78 | ax:+"
OPTIONS,Options,0xd782bc5,1,"eDescriptorXml | s2/Forklift | XmlData'@ | "" SaveOptions=""False | PlayerStatl |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0xd788247,1,"DescriptorXml | s2/SeatBuggy | XmlData'P | "" SaveOptions=""False | PlayerStat| |   <40 | Bonnet Cam | Vector3'p"
OPTIONS,Options,0xd78c3d4,1,"torXml |  NamD | s2/Chevyblazer | XmlData' | "" SaveOptions=""False | PlayerStatD |   <40 |   <*"
OPTIONS,Options,0xd78d9c0,1,"leDescriptorXml% | ""</#$# | s2/Kamaz | Data' | "" SaveOptions=""False | PlayerStat""4% |   <40 |   +p%"
OPTIONS,Options,0xd791e2f,1,"s2/+ | /Terrano/Player2 | XmlData' | "" SaveOptions=""False | State=""True"" |   <78 | Chevyblazer | Pajerostripe"
OPTIONS,Options,0xd792dc0,1,"""KT< | ]8/"" | YD`u_ | ?"" SaveOptions=""False | PlayerStat| |     < |  NamH | Vehicles/Tyres/gravel8/Inflat"
QUICKRACE,QuickRace,0xd7933ec,1,"True""3 | SkipTitle'$#  | ReturnScreen | I""P)&X3 !$ | QuickRace/Mode2 | Car02 | Track | Ghos'"
CUPSELECT,CupSelect,0x17c9c381,2,String'$ | gaFrontend | AI0T |  Status*5 | /CupSelectd | + ID2 | Group Visibility6 | Null/.
OPTIONS,Options,0x17c9db47,2,extB | ]T[CdAI+ | yi<9 | Font ID# | /GameOptions/Gearx[` | d 1g | Null  | OffsetX
QUICKRACE,QuickRace,0x17c9ebb3,2,"  ""8Q | List( |   <t | ""'Ie="""" | Select"" | QuickRace(t | "" %""8E | ""/'`"
PROGRESS,Progress,0x17c9efa9,2,"Enabl  | Unlocker< |  16` | Progress/OpU | d""\x | s/T1 |  t&- | 1 OR 23"
GAMESELECT2,GameSelect,0x17c9f489,2,Enabl  | Unlocker< |  16` | /GameSelect/' | Availh*> | 1 OR 23 | %|.- | Control AI5
QUICKRACE,QuickRace,0x17c9fbca,2,"  <P | List( |   <t | +(<! | QuickRace(t | ""/'` | Egg $ | =""0"""
PROGRESS,Progress,0x17c9ffa3,2,"Progress/Opened"" | s/T1 |  t&- | Cheats/ | 1?2m"
LANGUAGE,Language,0x17ca0668,2,"8>6</' | 6<,I | ""\""  | Language"" | English(l( | \flagsheet: | I33% | @*]4"
PROGRESS,Progress,0x17ca2c8a,2,"Enabl  | Progress*< | Use ""H&3< | h+ (? | .#4.p | .18h | +X/a | >K/3d "
TRAINING,Training,0x17ca2f6f,2,"#R(="" | ,D+l | )?""x&*;<"" | Training | a73+4 | ""4=\s | c7293  | ~`7:4."
QUICKRACE,QuickRace,0x17ca57be,2,"!=""/ | 9</'t9#d9< | QuickRace"" | $>&(h( | =""True""/'T | ""#$+ | 1.0> | +{"" "
PROGRESS,Progress,0x17ca6a62,2,"Lefth | Unlocker< |  16L | Progress/Opened""T1 | s/T1Master$(8-H | 1 OR 2 | +l / | Cheats/"
PROGRESS,Progress,0x17ca7da7,2,"sheet: |  On.46 /l., | 56`.* |  #x!# | Progress/Win | /Won_Bagoo"" | Individual$ | 8s&d%=d31+"
PROGRESS,Progress,0x17ca8c9f,2,String' | enUIMulti | :AI+ | q@<. | Progress/WinStatus/Won_Master_Stage9/ | ndividual  |  Per | H Justification2
PROGRESS,Progress,0x17caa3ea,2,"(&,. | 646#H. *e.1=x | d.* N+ |  ""X.* | C6h- | Progress/Win | /Won_ | Individual$"
VEHICLESELECT,VehicleSelect,0x17cab36b,2,"  "",: | List( | ControlW> Op"" i | VehicleSelect | ""X5#q7 | 9\PH[%pD | Tru9 | 4tr$"
OPTIONS,Options,0x17cad059,2,"Font ID# | /ControllerOptions/'` | ,D ` | SRdex3| | OffsetX | HJustifica|/2 | Width2 | Height2"
QUICKRACE,QuickRace,0x17cae4ea,2,"]T_CdAI+$ | =""Font ID# | /QuickRace/CurrentVehicle | CSdex3 | (=""/ | OffsetX | HJustification2 | Width2"
QUICKRACE,QuickRace,0x17cb13e0,2,FontXF | /QuickRace/CurrentVehicle2 |  IDGSdex3 | OffsetX | (q-  | HJustificationp | Width2 | Height3
QUICKRACE,QuickRace,0x17cb41e2,2,Font ID# | /QuickRace/(T | SRdex3| | Car2x | CurrentVehicle2% | CarIcon &
QUICKRACE,QuickRace,0x17cb5b2a,2,"Enabled | <Egg | QuickRaceScreen*X | Use ""\ 3 | 18 *P | Freezh,3 | Hit  | Draw Priority"
