cluster_id,xml_key,offset_hex,excerpt
2,CUPSELECT,0x17c9c381,"s|ame|||String'$||gaFrontend|.||AI0T|/||-||.||||| Status*5|||||/CupSelectd||l5|Q||/||3|||2||I |t||+ ID2||2>|||Group Visibility6|||Null/.|</<4|7||2 ||||(null)-,|7||3 >||`||_List'|||M||(7|Egg|h|CupRigh|B'||-4|||M||d|9+||Tr"
2,GAMESELECT2,0x17c9f489,"||||||Enabl |||||)||;||7||3 $|||=|Unlocker<||.||T||||| 16`|||||/GameSelect/'||||Availh*>|||1 OR 23||/|%|.-||||26|| ||||Control AI5||?||1?2y|3 |||3 |||*||;h|-||x|,|&|</Egg'5|<P|%|0(h||Screen*||+|||Use ""l13||0||+|||Freez|E"
2,LANGUAGE,0x17ca0668,"3||p=|>|#|K|||n|l$|||r|Ac |8>6</'|6#|6<,I||Cz|j|'-I|""\"" |-I||y||Language""|||||||English(l(|I|| ||IX ||I|+|I||l|v|\flagsheet:||x||>|u,||`4:||,|||C+|$a}|""|I|8|I33%|I'|y||@*]4|I|#|I|||2d  |||2d\|||||||{||||| |||2d  ||||||||"
2,OPTIONS,0x17c9db47,"extB|]T[CdAI+||yi<9||-||-|||Font ID#||*||2/||-||a|*||-|||||/GameOptions/Gearx[`| |p|6d|,||d 1g| ID|a3p| |||||p|/8||Null ||||OffsetX|%*|| |||||Y2||?|||HJustifical02||,`|15|V !|||Width2||34>|||Height3||>|||Box  ""||Put~||<L"
2,PROGRESS,0x17c9efa9,"|||4-x|/||'d|||||Enabl |||||)h||$|||=|Unlocker<||DqT||||| 16`|||Progress/OpU|d""\x|s/T1|]|g|P,| t&-|||1 OR 23||/|%1||||2?|||Cheats/||A |<||Control AI5||?+|1?2m|3 |m|3 |l|*||s/||*||;,|-||x|,l'|v||||<P|%|.|Invit||'x|-|$|E|"""
2,QUICKRACE,0x17c9ebb3,"||||""|7||%[|||<||  ""8Q|List(|||||  <t||""'Ie=""""|W||Select""|||||||QuickRace(t||  |||||||-|||"" %""8E|""/'`|-|||'|6)aR|1|6||+HE||Egg)|5||)|5|.|<|5|R#M_0""L_|,|||""#H_|8i|2L||3/k|1.0>||$|5| ||||$,||,|'|580|||||||+|5-|a|:|||||>|u,"
2,RACEDETAILS2,0x17cb6f5f,"|TextB|]T_CdAI+||uy<9||-||-|||Font ID#||*||xT||`|-||e|*||-|||||/RaceDetails||`|/||1`|6X|,||5W|L||[Qdex3d|xT||||fr=""|||||Null ||||OffsetX|$*|| |||||Y2||2>|||HJustification2||?||V !|||Width2||35?|||eight3||>|||Box  ""||Pul|"
2,RACERESULTS,0x17cb895e,"|||Pla |||Uns E|||Index*|||String'P||Null +\||List6||||Frontend/RaceResults/|.||x| +|||HeightSpac||02|17 ||||</enUIBrowser+H||</AI,@||AI No=""1""+Z|  +||s|ame:||,||7||2 F||3 <||y|_tB'|||</Egg(7|Egg|v|Car0*,|+\||Use en2d|+|"
2,REPLAYTHEATRE,0x17cbb059," ||| ||6/|$+||""|D &|5$|%||$|>x0 [||""|P| |6,L|0h| ?|6?|| |2|6E|||ReplayTheatre/|#||'||||""k7@|| ||'/*|%:)|'$9)|%8)| ||||1 ||| T|||VV53'|_""|!:|'=LT|||: QL <4|#|%  |) ||VV25+||""|#4LW9TV,|:DD|&|V$|0||#x>D|||TV|||?|]||1|aedA||"
2,TRAINING,0x17ca2f6f,"| -|""|#R(=""|||""(""|,D+l|-||||5||08""|||6>||'H|)?""x&*;<""|||<""|2$|5|Training||&|/| |t|#4=|a73+4|""4=\s||c7293 ||~`7:4.| |x|Op""|0s=""$L;|||$L1""4P|?""|R/|;""| -|$:|.|| %||<|: *||?H; .||6|;|757"" 1||9|<2 0||&(=8`= /||$|=5|> 5||5|> *"
2,VEHICLESELECT,0x17cab36b,"U|||?|B||<||  "",:|List(||||T||t||||||ControlW> Op"" i||s""||||||||VehicleSelect||(||""X5#q7|9\PH[%pD|'||-|)lP|3||Tru9|4tr$|P|(tr|;||48\|""|R&|r|08||*|1 (|P|h||65 N|37""|l|5 `|=|||32D|| |$||+|P|48|<D|'|r@6H|||r @||+||>|'|r|h||"
6,CUPSELECT,0x48a66af8,"||||||||| ||||||||||<Scene>||  <EggLists_Version4||  <t|| Name=""CupSelect""||||.t||Screen(|||  <Value||||Use en2d"" Type=""Bool"" |||=""False""/'||-|||Freezable3||Tru9||Hit ||||Draw Priority||Int'||38|||Tick;||48|||Egg Group2|"
6,GAMESELECT2,0x48a6b479,"||%|||||| ||||%|||||<Scene>||  <EggLists_Version4||  <t|| Name=""GameSelect""|||||||QuickRace(t||  <Value||||Use en2d"" Type=""Bool"" |||=""True""/'`|-|||Freezable |||Hit ||||Draw Priority||Int'||38|||Tick ||||Egg Group2||08|||"
6,LANGUAGE,0x48a6dacc,"|||j||||| ||||||||||<Scene>||  <EggLists_Version4||  <t|| Name=""Language""|||||||English(l||  <Value||||Use en2d"" Type=""Bool"" |||=""True""/'X|-|||Freezable |||Hit ||||Draw Priority||Int'||38|||Tick ||||Egg Group2||08|||en3d"
6,MRALLYESTART,0x48a76834,"||%||||| ||||||||||<Scene>||  <EggLists_Version4||  <t||| Name=""MRallyeStartScreen""||||||New||(t||  <Value||||Use en2d"" Type=""Bool"" |||=""True""/'`|-|||Freezable |||Hit ||||Draw Priority||Int'||38|||Tick ||||Egg Group2||08"
6,OPTIONS,0x48a62a9e,"||| ||||:|||||<Scene>||  <EggLists_Version4||  <t||| Name=""AudioOptions""||||1|||Screen(|||  <Value||||Use en2d"" Type=""Bool"" |||=""False""/'||-|||Freezable3||Tru9||Hit ||||Draw Priority||Int'||38|||Tick;||48|||Egg Group2||0"
6,PROGRESS,0x48a6bb2d,"eft7||?|||Enabl |||||)||;||7||3 $|||=|Unlocker<||.||<|||| 16`|||Progress/OpenedModes/T1MasterRally,| t&-|||1 OR 23||/|%1||||2?|||Cheats/||A |<||Control AI5||?+|1?2m|3 |m|3 |l|*||s/||*||;,|-||x|,l'|</Egg'||<P|%|.|Invit||'"
6,QUICKRACE,0x48a6b48b,"||<Scene>||  <EggLists_Version4||  <t|| Name=""GameSelect""|||||||QuickRace(t||  <Value||||Use en2d"" Type=""Bool"" |||=""True""/'`|-|||Freezable |||Hit ||||Draw Priority||Int'||38|||Tick ||||Egg Group2||08|||en3d Model|.|||Str"
6,RACEDETAILS2,0x48a8c5fb,"|TextB|]T_CdAI+||yy<9||-||-|||Font ID#||*||1,||`|-||e|*||-|||||/RaceDetails||d|/||1`|6X|,||5W| ID[Qdex3d| |||||fr=""|||||Null ||||OffsetX|$*|| |||||Y2||2>|||HJustification2||?||V !|||Width2||35?|||eight3||>|||Box  ""||Pul|"
6,RACERESULTS,0x48a8f6e1,"|||||||| ||||||||||<Scene>||  <EggLists_Version4||  <t||| Name=""RaceResults""|||||||Position(p||  <Value|||Use en2d"" Typ@||Bool"" |||=""True""/'\|-|||Freezable |||Hit ||||Draw Priority||Int'||18|||Tick;||38|||Egg Group2||08|"
6,REPLAYTHEATRE,0x48a93461,"= ||| ||6/|$+||""|D &|5$|%||$|>x0 [||2d :|6,L|0h| ?|6?|| |2|6E|||ReplayTheatre/|#||'||||""k7o="" ||'/*|  7|| ||' ||| ||  |||x| ||||1 ||| ||||VV53'|_""|!:|'=L ,x: QL <4|#|%  |) ||VV25+||""|#4LW9TV,|:6||&|V$|0||#x> |||TV|||||||"
6,TRAINING,0x48a713a2,"|||Left7||?||En""|1 ||(x&*||;||7||3 ||| |||x|,0||</Egg'||<""|2$|5|Training*<|+p||Use en2 |t|+|| va73+4|+|| ||||c7293 ||~`7:4.| SaveOp""|0s=""$L;|||PlayerStat""|R/|;""| -|$:|.|| %||<|: *||?H; .||6|;|757"" 1||9|<2 0||&(=8`= /||$|"
6,VEHICLESELECT,0x48a7da10,"|  <EggLists_Version4||  <t||| Name=""Controller Options""||||||||VehicleSelectScreen(|||  <Value||||Use en2d"" Type=""Bool"" |||=""False""/'||-|||Freezable3||Tru9||Hit ||||Draw Priority||Int'||38|||Tick;||48|||Egg Group2||08||"
