cluster_id,xml_key,anchor_count
1,OPTIONS,8
1,PROGRESS,1
1,QUICKRACE,1
2,CUPSELECT,1
2,GAMESELECT2,1
2,LANGUAGE,1
2,OPTIONS,3
2,PROGRESS,13
2,QUICKRACE,7
2,RACEDETAILS2,1
2,RACERESULTS,1
2,REPLAYTHEATRE,1
2,TRAINING,1
2,VEHICLESELECT,3
3,OPTIONS,8
3,PROGRESS,1
3,QUICKRACE,1
4,CUPSELECT,1
4,GAMESELECT2,1
4,LANGUAGE,1
4,OPTIONS,3
4,PROGRESS,13
4,QUICKRACE,7
4,RACEDETAILS2,1
4,RACERESULTS,1
4,REPLAYTHEATRE,1
4,TRAINING,1
4,VEHICLESELECT,3
5,OPTIONS,42
5,PROGRESS,4
5,QUICKRACE,1
6,CUPSELECT,8
6,GAMESELECT2,6
6,LANGUAGE,2
6,MRALLYESTART,2
6,OPTIONS,31
6,PROGRESS,47
6,QUICKRACE,25
6,RACEDETAILS2,6
6,RACERESULTS,4
6,REPLAYTHEATRE,1
6,TRAINING,3
6,VEHICLESELECT,8
