scene_index,header_off_hex,scene_off_hex,end_off_hex,size_bytes,name,name_norm,magic_be,field_a_be,field_b_be,const_0101_be,const_200000_be,field_c_be,trailer_be,printable_ratio,ascii_strings_4,ascii_strings_5,keywords_found,text_sha1,sample_strings
0,0x001FFCBB,0x001FFCDB,0x00200A4C,3473,Frontend,frontend,0xFFFFFF11,0x940F,0x1E52,0x101,0x200000,0x2E04,0xB,0.6715,202,164,,0334bc94c89cfbaf53f509622d0d4a5501b887a5,"<Scene>
  <EggLists_Version4 |  Name=""Frontend"" | Controller(x |   <Value | Use en2d"" Type=""Bool""  | =""False""/'h | Freezable3 | 
Draw Priority"
1,0x00200A4C,0x00200A6C,0x00202911,7877,AudioOptions,audiooptions,0x3E0D0A11,0x4404,0x25B5,0x101,0x200000,0x3A05,0xB,0.6629,466,374,Options,41b1621202b8b5e597444427e08efe600d3176e3,"<Scene>
  <EggLists_Version4 |  Name=""AudioOptions"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/' | Freezable3 | 
Draw Priority"
2,0x00202911,0x00202931,0x0020409C,6027,Challenge,challenge,0x3E0D0A11,0x7804,0x859E,0x101,0x200000,0x1804,0xB,0.6746,355,295,,9242c3f4d310fc51bc6364336d3d24bb43a5c8a2,"<Scene>
  <EggLists_Version4 |  Name=""Challenge"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/'| | Freezable3 | 
Draw Priority"
3,0x0020409C,0x002040BC,0x0020485A,1982,TitleScreen,titlescreen,0x3E0D0A11,0x0705,0xB02D,0x101,0x200000,0x0804,0xB,0.669,115,94,,f91a005e55ae988efd344d8d57e0d39a1366ec7b,"<Scene>
  <EggLists_Version4 |  Name=""TitleScreen"" | Copyright. |   <Value | Use en2d"" Type=""Bool""  | =""False""/'| | Freezable3 | 
Draw Priority"
4,0x0020485A,0x0020487A,0x00204AAC,594,CreditsScreen,creditsscreen,0x3E0D0A11,0x9603,0x6708,0x101,0x200000,0x3A02,0xB,0.6751,34,28,,680dbb2c69f4264028d8acd964b7845a3c726f1a,"<Scene>
  <EggLists_Version4 |  Name=""CreditsScreen"" |   <Value | Use en2d"" Type=""Bool""  | =""False""/'t | Freezable3 | 
Draw Priority | Tick;"
5,0x00204AAC,0x00204ACC,0x002072B0,10244,CupSelect,cupselect,0x3E0D0A11,0x3A02,0x9F1B,0x1000101,0x200000,0x8303,0xB,0.6749,613,499,CupSelect,af0e97e6f2f54969d38a00d44881009a17adea6c,"<Scene>
  <EggLists_Version4 |  Name=""CupSelect"" | Screen( |   <Value | Use en2d"" Type=""Bool""  | =""False""/'| | Freezable3 | 
Draw Priority"
6,0x002072B0,0x002072D0,0x0020942D,8573,Speed,speed,0x3E0D0A11,0xAA05,0xDCDC,0x101,0x200000,0x2805,0xB,0.665,506,414,Options,a7aec4de79a9ab769bbb20d1cdcc7581cde8e394,"<Scene>
  <EggLists_Version4 | 
 Name=""Speed"" |   <Value | Use en2d"" Type=""Bool""  | =""True""/'P | Freezable  | 
Draw Priority | Tick;"
7,0x0020942D,0x0020944D,0x0020A834,5127,GameSelect,gameselect,0x3E0D0A11,0x8704,0x2581,0x101,0x200000,0x2504,0xB,0.6641,318,254,QuickRace;Progress;GameSelect;Options,c49b06626d7e446b8cdaa3a11a694a9b6d59c3f6,"<Scene>
  <EggLists_Version4 |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
8,0x0020A834,0x0020A854,0x0020BA80,4684,GameSelect,gameselect,0x3E0D0A11,0x9B00,0x176F,0x101,0x200000,0x7B04,0xB,0.6768,287,231,QuickRace;Progress;GameSelect,414a50ed5844ba928ff7338f1e2b1da44ee79959,"<Scene>
  <EggLists_Version4 |  Name=""GameSelect"" | QuickRace(t |   <Value | Use en2d"" Type=""Bool""  | =""True""/'` | Freezable  | 
Draw Priority"
9,0x0020BA80,0x0020BAA0,0x0020CB76,4342,Language,language,0x3E0D0A11,0xF903,0x046A,0x101,0x200000,0x8204,0xB,0.6849,275,220,Language;Options,c3ac83a303427cadffd1fedb2b540cfbc6fa6139,"<Scene>
  <EggLists_Version4 |  Name=""Language"" | English(l |   <Value | Use en2d"" Type=""Bool""  | =""True""/'X | Freezable  | 
Draw Priority"
