scene_file,scene_name,member_kind,member_name,start,end,length,prelude_last4,prelude_last8,prelude_hex
Language_01.bin,Language,SceneRoot,Language,0x20,0x4b2,1170,0000000b,000082040000000b,0000010100200000000082040000000b
Language_01.bin,Language,Value,Hitable,0x4b2,0x663,433,a0000010,0d0a2020a0000010,0000e3030000023e0d0a2020a0000010
Language_01.bin,Language,AI,AI_0_1,0x663,0x8ab,584,15092020,737429b815092020,6c150441495f4c69737429b815092020
Language_01.bin,Language,Value,Colour Start,0x8ab,0xe48,1437,00000018,0d0a202b00000018,2e30600003222f3e0d0a202b00000018
Language_01.bin,Language,Value,en2d FileType,0xe48,0xf04,188,0000000a,0000b6020000000a,2f842e110000ab050000b6020000000a
Language_01.bin,Language,AI,AI_0_2,0xf04,0x10ed,489,06092020,7374296806092020,10040441495f4c697374296806092020
RaceResults_01.bin,RaceResults,SceneRoot,RaceResults,0x20,0x40e,1006,0000000b,0000bd030000000b,00000101002000000000bd030000000b
RaceResults_01.bin,RaceResults,Value,List*,0x40e,0x92c,1310,00000010,0d0a202b00000010,617465fc02022f3e0d0a202b00000010
RaceResults_01.bin,RaceResults,Value,UiSelect,0x92c,0x15cf,3235,00000010,0d0a202b00000010,46616c7365222f3e0d0a202b00000010
RaceResults_01.bin,RaceResults,Value,en3d Matrix,0x15cf,0x172a,347,8000000b,0a2020208000000b,00000b030000020d0a2020208000000b
RaceResults_01.bin,RaceResults,AI,AI_0_1,0x172a,0x18c1,407,0f092020,737429700f092020,240e0441495f4c69737429700f092020
QuickRace_01.bin,QuickRace,SceneRoot,QuickRace,0x20,0x424,1028,0000000b,0000f5030000000b,00000101002000000000f5030000000b
QuickRace_01.bin,QuickRace,Value,en2d 2dGlobal,0x424,0x45f,59,20202020,1d20202020202020,03000037050000001d20202020202020
QuickRace_01.bin,QuickRace,AI_List,AI_List,0x45f,0x46d,14,20c00005,2f3e0d0a20c00005,3d2246616c7365222f3e0d0a20c00005
QuickRace_01.bin,QuickRace,AI,AI_0_1,0x46d,0xadd,1648,00092020,7374294800092020,00053c41495f4c697374294800092020
QuickRace_01.bin,QuickRace,AI,AI_0_2,0xadd,0xe75,920,15092020,7374295815092020,c00d0441495f4c697374295815092020
QuickRace_01.bin,QuickRace,AI,AI_3_3,0xe75,0x133c,1223,2bb80707,3c2f41492bb80707,003c2f20067407013c2f41492bb80707
QuickRace_01.bin,QuickRace,AI,AI_0_4,0x133c,0x1580,580,0b092020,737429600b092020,00010441495f4c69737429600b092020
