scene,file,decoder_class,strings_file
QuickRace,QuickRace_AI_0_1_AI_03.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/QuickRace_AI_0_1_AI_03_stage79_strings.txt
QuickRace,QuickRace_AI_0_2_AI_04.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/QuickRace_AI_0_2_AI_04_stage79_strings.txt
QuickRace,QuickRace_AI_0_4_AI_06.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/QuickRace_AI_0_4_AI_06_stage79_strings.txt
QuickRace,QuickRace_AI_3_3_AI_05.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/QuickRace_AI_3_3_AI_05_stage79_strings.txt
QuickRace,QuickRace_AI_List_AI_List_02.bin,ai_list_transition,/mnt/data/stage79_bundle/extracts/QuickRace_AI_List_AI_List_02_stage79_strings.txt
QuickRace,QuickRace_en2d_2dGlobal_Value_01.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/QuickRace_en2d_2dGlobal_Value_01_stage79_strings.txt
RaceResults,RaceResults_AI_0_1_AI_04.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/RaceResults_AI_0_1_AI_04_stage79_strings.txt
RaceResults,RaceResults_List_Value_01.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/RaceResults_List_Value_01_stage79_strings.txt
RaceResults,RaceResults_UiSelect_Value_02.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/RaceResults_UiSelect_Value_02_stage79_strings.txt
RaceResults,RaceResults_en3d_Matrix_Value_03.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/RaceResults_en3d_Matrix_Value_03_stage79_strings.txt
Language,Language_01_AI_01_0_r_am_G_gaF_Enh_dButtonAI_7_P.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/Language_01_AI_01_0_r_am_G_gaF_Enh_dButtonAI_7_P_stage79_strings.txt
Language,Language_01_AI_03_0.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/Language_01_AI_03_0_stage79_strings.txt
Language,Language_01_AI_06_0.bin,ui_ai_member,/mnt/data/stage79_bundle/extracts/Language_01_AI_06_0_stage79_strings.txt
Language,Language_01_Value_02_Hitable.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/Language_01_Value_02_Hitable_stage79_strings.txt
Language,Language_01_Value_04_Colour_Start.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/Language_01_Value_04_Colour_Start_stage79_strings.txt
Language,Language_01_Value_05_en2d_FileType.bin,typed_value_member,/mnt/data/stage79_bundle/extracts/Language_01_Value_05_en2d_FileType_stage79_strings.txt
