scene,file,decoder_class,leading16_hex,tag_context_hex,size_bytes
QuickRace,QuickRace_AI_0_1_AI_03.bin,ui_ai_member,3c4149204e6f3d2230222b58002db801,3c4149204e6f3d2230222b58002db8017304616d65e00d03,1648
QuickRace,QuickRace_AI_0_2_AI_04.bin,ui_ai_member,3c4149204e6f3d2230222b5a0020202b,3c4149204e6f3d2230222b5a0020202bc4157204616d2754,920
QuickRace,QuickRace_AI_0_4_AI_06.bin,ui_ai_member,3c4149204e6f3d2230222b5a0020202b,3c4149204e6f3d2230222b5a0020202bcc0b7204616d27a8,580
QuickRace,QuickRace_AI_3_3_AI_05.bin,ui_ai_member,3c4149204e6f3d2233222b58002d1407,3c4149204e6f3d2233222b58002d14077204616d27400203,1223
QuickRace,QuickRace_AI_List_AI_List_02.bin,ai_list_transition,3c41495f4c697374294800092020,3c41495f4c697374294800092020,14
QuickRace,QuickRace_en2d_2dGlobal_Value_01.bin,typed_value_member,3c56616c7565204e616d653d22656e32,3c56616c7565204e616d653d22656e3264203264476c6f62,59
RaceResults,RaceResults_AI_0_1_AI_04.bin,ui_ai_member,3c4149204e6f3d2230222b58002ddc0f,3c4149204e6f3d2230222b58002ddc0f7204616d27b80d2d,407
RaceResults,RaceResults_List_Value_01.bin,typed_value_member,3c56616c7565204e616d653d224c6973,3c56616c7565204e616d653d224c6973742a222054797065,1310
RaceResults,RaceResults_UiSelect_Value_02.bin,typed_value_member,3c56616c7565204e616d653d22556953,3c56616c7565204e616d653d22556953656c656374222054,3235
RaceResults,RaceResults_en3d_Matrix_Value_03.bin,typed_value_member,3c56616c7565204e616d653d22656e33,3c56616c7565204e616d653d22656e3364204d6174726978,347
Language,Language_01_AI_01_0_r_am_G_gaF_Enh_dButtonAI_7_P.bin,ui_ai_member,3c4149204e6f3d22302ada1820202dfc,3c4149204e6f3d22302ada1820202dfc177204616d27f417,144
Language,Language_01_AI_03_0.bin,ui_ai_member,3c4149204e6f3d2230222b58002d2416,3c4149204e6f3d2230222b58002d24167204616d270c172d,137
Language,Language_01_AI_06_0.bin,ui_ai_member,3c4149204e6f3d2230222b5a0020202b,3c4149204e6f3d2230222b5a0020202bd4067204616d27a4,284
Language,Language_01_Value_02_Hitable.bin,typed_value_member,3c56616c7565204e616d653d22486974,3c56616c7565204e616d653d2248697461626c6522205479,433
Language,Language_01_Value_04_Colour_Start.bin,typed_value_member,3c56616c7565204e616d653d22436f6c,3c56616c7565204e616d653d22436f6c6f75722053746172,215
Language,Language_01_Value_05_en2d_FileType.bin,typed_value_member,3c56616c7565204e616d653d22656e32,3c56616c7565204e616d653d22656e32642046696c655479,188
