scene,file,kind,size_bytes,decoder_class,transferable,confidence,starts_with_tag,attribute_names,has_frontend_path,has_draw_priority,has_image_bank_index,has_font_id,has_matrix,has_saveoptions_like,has_end_egg,ascii_preview
QuickRace,QuickRace_AI_0_1_AI_03.bin,AI,1648,ui_ai_member,True,high,AI,AI No | Row0 |  Row1,False,True,False,True,True,False,True,"<AI No=""0""+X | String' | enUITextButtonAI+ | Font ID# | Int' | Null  |  Index3 | OffsetX | HJustification2 | </AI+"
QuickRace,QuickRace_AI_0_2_AI_04.bin,AI,920,ui_ai_member,True,high,AI,AI No | ZX |  Value,True,False,False,False,False,False,True,"<AI No=""0""+Z | am'T | enUIFormattedTextAI+ | Font# | Frontend/QuickRace/Currentl |  ID3p | Offset | Vector3' | Horizontal Justification | Vert\"
QuickRace,QuickRace_AI_0_4_AI_06.bin,AI,580,ui_ai_member,True,high,AI,AI No,False,False,False,False,False,False,True,"<AI No=""0""+Z | Null+ |   </AI+@ | </Egg'd | <Egg | =""GS_TitleText*L | Use en2  | Freeza  | Hit  | Priority"
QuickRace,QuickRace_AI_3_3_AI_05.bin,AI,1223,ui_ai_member,True,high,AI,AI No | Row0 | 3 | fl,False,True,False,True,True,False,True,"<AI No=""3""+X | am'@ | String'@ | Null-@ | _List' | </Egg(7 | ViewC | Zts*L | Use en2  | Freezp3 "
QuickRace,QuickRace_AI_List_AI_List_02.bin,AI,14,ai_list_transition,True,medium,AI_List,,False,False,False,False,False,False,False,<AI_List)H
QuickRace,QuickRace_en2d_2dGlobal_Value_01.bin,Value,59,typed_value_member,True,high,Value,Value Name |  Type,False,False,False,False,False,False,False,"<Value Name=""en2d 2dGlobal"" Type=""Bool""  | =""False""/>"
RaceResults,RaceResults_AI_0_1_AI_04.bin,AI,407,ui_ai_member,True,high,AI,AI No | zn,False,False,False,True,False,False,True,"<AI No=""0""+X | gaFr | TextB | ]T[CdAI+ | Font ID# | Null/ |  IDONdex  | zn="" | OffsetX | HJustification2"
RaceResults,RaceResults_List_Value_01.bin,Value,1310,typed_value_member,True,high,Value,Value Name |  Type | AI No | Row0 |  Row1 | o |  fz,True,True,False,True,True,True,True,"<Value Name=""List*"" Type=""String""  | =""Frontend/RaceResults/Timep | Options | HeightSpac | Int'& | </enUIBrowser+< | </AI,@ | AI No=""1""+Z | ame5 | Null"","
RaceResults,RaceResults_UiSelect_Value_02.bin,Value,3235,typed_value_member,True,high,Value,Value Name |  Type | AI No | Row0 |  Row1,True,True,False,True,True,True,True,"<Value Name=""UiSelect"" Type=""Int""  | =""0"" SaveOptions | Pla  | Uns E | Index* | String'P | Null +\ | List6 | Frontend/RaceResults/Pointsx | HeightSpac"
RaceResults,RaceResults_en3d_Matrix_Value_03.bin,Value,347,typed_value_member,True,high,Value,Value Name | Row0 |  Row1,False,False,False,False,True,False,False,"<Value Name=""en3d Matrix"" TypH | Row0=""1.00 0+ | "" Row1="" |    0x | Draw 2D | Bool""  | =""False= | Interpolated3 | Tru> | Visible "
Language,Language_01_AI_01_0_r_am_G_gaF_Enh_dButtonAI_7_P.bin,AI,144,ui_ai_member,True,high,AI,AI No,False,False,False,False,False,False,False,"<AI No=""0* | ]Enh | dButtonAI+ | Up Path | Right7 | Down7 | Lef "
Language,Language_01_AI_03_0.bin,AI,137,ui_ai_member,True,high,AI,AI No,False,False,False,False,False,False,False,"<AI No=""0""+X | ]Enh | dButtonAI+ | Up Path | Right7 | Down7 | Lef "
Language,Language_01_AI_06_0.bin,AI,284,ui_ai_member,True,high,AI,AI No,False,False,False,False,False,False,False,"<AI No=""0""+Z | String' | enUIScaler+ | y?<(l | UiNo |  From | Floa(, | 50.0` | tart Ti( | Finish7"
Language,Language_01_Value_02_Hitable.bin,Value,433,typed_value_member,True,high,Value,Value Name |  Type | Row0,False,True,False,False,True,False,False,"<Value Name=""Hitable"" Type=""Bool""  | =""True""/> | Draw Priority | Int' | Tick  | Egg Group2 | en3d Model | String' | Null> | atrix"
Language,Language_01_Value_04_Colour_Start.bin,Value,215,typed_value_member,True,high,Value,Value Name |  Type | AI No,True,False,False,False,False,False,False,"<Value Name=""Colour Start"" Type=""Vector4""  | =""1I | End6P | 0.90 ( | Active* | String' | Frontend/Language/French/T | </ga | BackgroundFaderAI+ | </.@"
Language,Language_01_Value_05_en2d_FileType.bin,Value,188,typed_value_member,True,high,Value,Value Name |  Value,False,False,True,False,False,False,False,"<Value Name=""en2d FileType"" t | =""Int"" Value=""1""/> | Image Bank Index2 | Draw 2D | Bool' | True= | Interpolated  | Visibl' | ZBuffer  | 2dGlobal3"
