source_member,offset_hex,u32_be_hex,u32_le_hex
RaceResults_List_star,0x0000,0d0a202b,2b200a0d
RaceResults_List_star,0x0004,00000010,10000000
RaceResults_List_star,0x0008,3c56616c,6c61563c
RaceResults_List_star,0x0020,3d225374,7453223d
RaceResults_List_star,0x0024,72696e67,676e6972
RaceResults_List_star,0x0028,22208004,04802022
RaceResults_List_star,0x002C,00093d22,223d0900
RaceResults_List_star,0x0030,46726f6e,6e6f7246
RaceResults_UiSelect,0x0000,0d0a202b,2b200a0d
RaceResults_UiSelect,0x0004,00000010,10000000
RaceResults_UiSelect,0x0008,3c56616c,6c61563c
RaceResults_UiSelect,0x0020,7970653d,3d657079
RaceResults_UiSelect,0x0024,22496e74,746e4922
RaceResults_UiSelect,0x0028,22208004,04802022
RaceResults_UiSelect,0x002C,0d3d2230,30223d0d
RaceResults_UiSelect,0x0030,22205361,61532022
Language_Hitable,0x0000,3c56616c,6c61563c
Language_Hitable,0x0004,7565204e,4e206575
Language_Hitable,0x0008,616d653d,3d656d61
Language_Hitable,0x0020,22208004,04802022
Language_Hitable,0x0024,083d2254,54223d08
Language_Hitable,0x0028,72756522,22657572
Language_Hitable,0x002C,2f3e0d0a,0a0d3e2f
Language_Hitable,0x0030,be062020,202006be
Language_Colour_Start,0x0000,3c56616c,6c61563c
Language_Colour_Start,0x0004,7565204e,4e206575
Language_Colour_Start,0x0008,616d653d,3d656d61
Language_Colour_Start,0x0020,22566563,63655622
Language_Colour_Start,0x0024,746f7234,34726f74
Language_Colour_Start,0x0028,22208305,05832022
Language_Colour_Start,0x002C,3d223149,4931223d
Language_Colour_Start,0x0030,09202c10,102c2009
Language_en2d_FileType,0x0000,3c56616c,6c61563c
Language_en2d_FileType,0x0004,7565204e,4e206575
Language_en2d_FileType,0x0008,616d653d,3d656d61
Language_en2d_FileType,0x0020,3d22496e,6e49223d
Language_en2d_FileType,0x0024,74222056,56202274
Language_en2d_FileType,0x0028,616c7565,65756c61
Language_en2d_FileType,0x002C,3d223122,2231223d
Language_en2d_FileType,0x0030,2f3e0d0a,0a0d3e2f
