file,decoder_class,from_field,to_field,from_offset_hex,to_offset_hex,gap_bytes,window_class,inference
AI_0_1,selector_button_member_v2,ai_header,declared_type,0x0000,0x0018,24,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_1,selector_button_member_v2,declared_type,tail_class,0x0018,0x0022,10,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,tail_class,font_id_field,0x0022,0x0042,32,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,font_id_field,selector_null_policy,0x0042,0x0062,32,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,selector_null_policy,selector_key,0x0062,0x0074,18,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,selector_key,offset_field,0x0074,0x008e,26,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,offset_field,hjust_field,0x008e,0x00a9,27,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_1,selector_button_member_v2,hjust_field,frontend_button_class,0x00a9,0x00ea,65,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_1,selector_button_member_v2,frontend_button_class,up_path,0x00ea,0x0118,46,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,up_path,right_path,0x0118,0x0126,14,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,right_path,down_path,0x0126,0x0135,15,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,down_path,left_path,0x0135,0x0140,11,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,left_path,enabled_flag,0x0140,0x0148,8,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,enabled_flag,enabled_value,0x0148,0x0154,12,nav_transition_control,Likely directional link table slots / state transitions
AI_0_1,selector_button_member_v2,enabled_value,draw_priority_field,0x0154,0x01d6,130,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_1,selector_button_member_v2,draw_priority_field,en3d_model,0x01d6,0x020e,56,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_1,selector_button_member_v2,en3d_model,zbuffer,0x020e,0x0295,135,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_0_1,selector_button_member_v2,zbuffer,image_bank_index,0x0295,0x02c3,46,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_0_1,selector_button_member_v2,image_bank_index,vector3,0x02c3,0x036b,168,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_0_1,selector_button_member_v2,vector3,colour,0x036b,0x03be,83,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_0_1,selector_button_member_v2,colour,embedded_draw_priority_value,0x03be,0x0503,325,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_2,path_text_member_v2,ai_header,tail_class,0x0000,0x001e,30,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_2,path_text_member_v2,tail_class,font_id_field,0x001e,0x0041,35,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,font_id_field,path_ref,0x0041,0x005c,27,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,path_ref,offset_field,0x005c,0x00a3,71,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,offset_field,vector3,0x00a3,0x00ac,9,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,vector3,hjust_field,0x00ac,0x00c0,20,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,hjust_field,max_width,0x00c0,0x00ec,44,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,max_width,height,0x00ec,0x00fe,18,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,height,colour,0x00fe,0x010b,13,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_0_2,path_text_member_v2,colour,frontend_button_class,0x010b,0x02d6,459,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_0_2,path_text_member_v2,frontend_button_class,embedded_id_value,0x02d6,0x0311,59,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,embedded_id_value,up_path,0x0311,0x0337,38,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,up_path,right_path,0x0337,0x0346,15,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,right_path,down_path,0x0346,0x0353,13,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,down_path,left_path,0x0353,0x035e,11,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,left_path,enabled_flag,0x035e,0x0366,8,nav_transition_control,Likely directional link table slots / state transitions
AI_0_2,path_text_member_v2,enabled_flag,pulse_flag,0x0366,0x0380,26,nav_transition_control,Likely directional link table slots / state transitions
AI_3_3,selector_button_member_v2_variant,ai_header,declared_type,0x0000,0x0018,24,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,declared_type,selector_null_policy,0x0018,0x0022,10,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_3_3,selector_button_member_v2_variant,selector_null_policy,list_ref,0x0022,0x002f,13,inline_selector_control,Likely compact control words / lengths between selector-adjacent tokens
AI_3_3,selector_button_member_v2_variant,list_ref,view_class,0x002f,0x0046,23,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,view_class,draw_priority_field,0x0046,0x007b,53,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,draw_priority_field,image_bank_index,0x007b,0x018c,273,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,image_bank_index,tail_class,0x018c,0x01f2,102,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,tail_class,font_id_field,0x01f2,0x020e,28,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,font_id_field,selector_key,0x020e,0x0239,43,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,selector_key,offset_field,0x0239,0x025e,37,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,offset_field,hjust_field,0x025e,0x027d,31,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_3_3,selector_button_member_v2_variant,hjust_field,get_save_size,0x027d,0x02df,98,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,get_save_size,zbuffer_bool,0x02df,0x038f,176,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,zbuffer_bool,background_path,0x038f,0x03ea,91,zone_boundary_control,Likely zone switch or embedded subrecord boundary
AI_3_3,selector_button_member_v2_variant,background_path,draw_2d,0x03ea,0x0477,141,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
AI_3_3,selector_button_member_v2_variant,draw_2d,2dglobal,0x0477,0x04ab,52,same_zone_padding_or_compact_fields,Likely intra-zone compact fields or string terminators
