canonical_field,ai01_offset_hex,ai33_offset_hex,delta_bytes,transfer_strength,note
declared_type,0x0018,0x0018,0,high,stable selector prelude
selector_null_policy,0x0062,0x0022,-64,high,stable selector prelude
font_id_field,0x0042,0x020e,460,high,ui property transfer
selector_key,0x0074,0x0239,453,high,selector core transfer
offset_field,0x008e,0x025e,464,high,layout property transfer
hjust_field,0x00a9,0x027d,468,high,layout property transfer
draw_priority_field,0x01d6,0x007b,-347,high,ui/render transfer
image_bank_index,0x02c3,0x018c,-311,high,render tail transfer
view_class,,0x0046,,variant_only,AI_3_3 injects ViewC before canonical owner UI/layout fields.
get_save_size,,0x02df,,variant_only,Variant-specific runtime helper token; likely displaces owner-tail locality.
zbuffer_bool,,0x038f,,variant_only,Embedded explicit bool value in variant carrier.
background_path,,0x03ea,,variant_only,Variant background asset path strongly suggests render-specialized carrier.
